Activity_StartDate,Result_Measure,Result_MeasureUnit,Result_Characteristic,ResultAnalyticalMethod_Description,Result_CharacteristicGroup
1994-05-25,0.15,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-06-01,0.23,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-06-09,0.35,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-06-16,0.26,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-06-22,0.35,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-06-29,0.21,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-07-06,0.37,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-07-14,0.25,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-07-20,0.39,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-07-27,0.44,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-08-04,0.24,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-08-11,0.64,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-08-16,0.27,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-08-24,0.25,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1994-09-01,0.21,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample preserved with mercuric chloride, discontinued 10-01-1994; see OWQ Tech Memo 94.16); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-03-08,0.10,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-03-14,0.36,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-03-21,0.17,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-03-29,0.14,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-04-06,0.18,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-04-12,0.07,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-04-19,0.05,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-04-26,0.05,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-05-03,0.10,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-05-10,0.08,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-05-17,0.05,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-05-24,0.05,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-05-31,0.09,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-06-07,0.28,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-06-13,0.09,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-06-21,0.07,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-06-28,0.13,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-07-05,0.17,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-07-13,0.10,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-07-18,0.24,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-07-26,0.16,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
1995-08-01,0.13,mg/L,Phosphorus,"DESCRIPTION: Total Phosphorus in Unfiltered Water by Microkjeldahl Digestion, and ASF Dialysis and Colorimetry (unfiltered sample, preserved by chilling only prior to 1-1-1999, preserved with sulfuric acid 1-1-1999 to present; see OWQ Tech Memo 99.04); CITATION(S): Patton, C.J., and Truitt, E.P., 1992, Methods of analysis by the U.S. Geological Survey National Water Quality Laboratory--Determination of total phosphorus by a Kjeldahl digestion method and an automated colorimetric finish that includes dialysis: U.S. Geological Survey Open-File Report 92-146, 39 p. | USGS | I-4610-91",Nutrient
